rank,name,version,downloads,kind,baseline_build_secs,slicer_build_secs,speedup,status
1,syn,2.0.117,1595761057,lib,5.42,4.33,1.252,both_built
2,hashbrown,0.17.0,1469613376,lib,1.92,1.49,1.289,both_built
3,bitflags,2.11.1,1226802506,lib,0.17,0.47,0.362,both_built
4,getrandom,0.4.2,1183144905,lib,2.44,1.81,1.348,both_built
5,rand_core,0.10.1,1106779248,lib,0.29,0.21,1.381,both_built
6,proc-macro2,1.0.106,1102185702,lib,1.87,1.12,1.67,both_built
7,libc,0.2.186,1097915001,lib,1.7,1.53,1.111,both_built
8,base64,0.22.1,1091953499,lib,0.28,0.58,0.483,both_built
9,quote,1.0.45,1087228740,lib,1.39,2.37,0.586,both_built
10,rand,0.8.6,1080778604,lib,8.48,7.97,1.064,both_built
11,regex-syntax,0.8.10,1019226974,lib,3.8,2.97,1.279,both_built
12,indexmap,2.14.0,1013962675,lib,2.24,2.06,1.087,both_built
13,itertools,0.14.0,1013787654,lib,0.58,2.21,0.262,both_built
14,cfg-if,1.0.4,975444268,lib,0.15,0.13,1.154,both_built
15,serde,1.0.228,952229993,lib,4.33,4.13,1.048,both_built
16,thiserror-impl,2.0.18,929278419,lib,3.43,2.07,1.657,both_built
17,thiserror,2.0.18,929103435,lib,4.06,4.37,0.929,both_built
18,rand_chacha,0.10.0,927875277,lib,4.14,4.15,0.998,both_built
19,windows-sys,0.61.2,920841453,lib,0.6,0.35,1.714,both_built
20,memchr,2.8.0,907112303,lib,1.61,1.19,1.353,both_built
21,unicode-ident,1.0.24,892277911,lib,0.29,0.19,1.526,both_built
22,serde_derive,1.0.228,889654647,lib,6.92,6.18,1.12,both_built
23,itoa,1.0.18,882296719,lib,0.41,0.24,1.708,both_built
24,autocfg,1.5.0,880421082,lib,0.76,0.45,1.689,both_built
25,heck,0.5.0,865719042,lib,0.75,0.7,1.071,both_built
26,serde_json,1.0.149,856290797,lib,5.4,5.01,1.078,both_built
27,regex-automata,0.4.14,854912514,lib,10.81,9.5,1.138,both_built
28,log,0.4.29,843840272,lib,0.51,0.41,1.244,both_built
29,once_cell,1.21.4,840605405,lib,0.43,0.29,1.483,both_built
30,cc,1.2.61,828782039,lib,3.45,1.4,2.464,both_built
31,regex,1.12.3,793729704,lib,13.59,13.2,1.03,both_built
32,ryu,1.0.23,791089977,lib,0.52,0.54,0.963,both_built
33,clap,4.6.1,787694370,bin,19.68,17.95,1.096,both_built
34,smallvec,2.0.0-alpha.12,782803296,lib,0.47,0.37,1.27,both_built
35,aho-corasick,1.1.4,779672103,lib,6.13,3.18,1.928,both_built
36,socket2,0.6.3,779091997,lib,2.15,1.69,1.272,both_built
37,parking_lot_core,0.9.12,769261117,lib,0.99,0.82,1.207,both_built
38,rustix,1.1.4,748256411,lib,1.63,1.27,1.283,both_built
39,parking_lot,0.12.5,746781055,lib,3.11,2.4,1.296,both_built
40,strsim,0.11.1,745586227,lib,0.96,0.64,1.5,both_built
41,windows_x86_64_msvc,0.53.1,712330486,lib,0.3,0.23,1.304,both_built
42,lazy_static,1.5.0,703033534,lib,0.22,0.15,1.467,both_built
43,num-traits,0.2.19,697780268,lib,1.63,1.56,1.045,both_built
44,linux-raw-sys,0.12.1,695965362,lib,0.56,0.73,0.767,both_built
45,windows_x86_64_gnu,0.53.1,684699809,lib,0.3,0.23,1.304,both_built
46,version_check,0.9.5,684347753,lib,0.63,0.39,1.615,both_built
47,bytes,1.11.1,680760519,lib,1.18,0.89,1.326,both_built
48,windows_aarch64_msvc,0.53.1,679225448,lib,0.3,0.25,1.2,both_built
49,windows_i686_msvc,0.53.1,678874853,lib,0.3,0.22,1.364,both_built
50,semver,1.0.28,677663294,lib,0.64,0.41,1.561,both_built
51,windows_i686_gnu,0.53.1,677248217,lib,0.71,0.29,2.448,both_built
52,either,1.15.0,676852850,lib,0.65,0.38,1.711,both_built
53,mio,1.2.0,673175281,lib,3.46,5.59,0.619,both_built
54,lock_api,0.4.14,670889473,lib,4.75,0.64,7.422,both_built
55,pin-project-lite,0.2.17,666286262,lib,0.93,0.22,4.227,both_built
56,idna,1.1.0,666204054,lib,36.09,34.33,1.051,both_built
57,windows-targets,0.53.5,666059801,lib,1.22,0.87,1.402,both_built
58,digest,0.11.2,661925858,lib,6.27,4.18,1.5,both_built
59,http,1.4.0,660623182,lib,5.3,6.43,0.824,both_built
60,anyhow,1.0.102,645531322,lib,1.19,1.3,0.915,both_built
61,block-buffer,0.12.0,644331868,lib,4.08,1.96,2.082,both_built
62,scopeguard,1.2.0,642315409,lib,3.34,0.2,16.7,both_built
63,windows_x86_64_gnullvm,0.53.1,636962972,lib,0.54,0.33,1.636,both_built
64,windows_aarch64_gnullvm,0.53.1,636959319,lib,1.26,0.31,4.065,both_built
65,time,0.3.47,636022901,lib,3.11,13.1,0.237,both_built
66,tokio,1.52.1,632458112,lib,8.29,1.6,5.181,both_built
67,miniz_oxide,0.9.1,630416196,lib,2.98,1.47,2.027,both_built
68,ppv-lite86,0.2.21,617118413,lib,3.63,1.89,1.921,both_built
69,hyper,1.9.0,616968749,lib,12.49,12.44,1.004,both_built
70,crossbeam-utils,0.8.21,615762685,lib,2.84,0.98,2.898,both_built
71,rustls,0.23.39,609400167,lib,89.23,56.8,1.571,both_built
72,percent-encoding,2.3.2,602751128,lib,0.71,0.33,2.152,both_built
73,fastrand,2.4.1,597400188,lib,0.75,0.38,1.974,both_built
74,slab,0.4.12,596707376,lib,4.38,0.4,10.95,both_built
75,url,2.5.8,592331786,lib,9.3,7.71,1.206,both_built
76,toml,1.1.2+spec-1.1.0,590910706,,,,,not_run
77,futures-core,0.3.32,589133636,lib,0.43,0.24,1.792,both_built
78,generic-array,1.4.0,586295129,lib,1.71,1.51,1.132,both_built
79,futures-util,0.3.32,578729350,lib,8.51,7.87,1.081,both_built
80,futures-task,0.3.32,578187460,lib,0.64,0.35,1.829,both_built
81,sha2,0.11.0,575298988,lib,9.05,7.49,1.208,both_built
82,http-body,1.0.1,572026562,lib,5.1,1.1,4.636,both_built
83,tracing-core,0.1.36,571772915,lib,4.14,1.12,3.696,both_built
84,clap_lex,1.1.0,571077296,lib,0.91,1.47,0.619,both_built
85,byteorder,1.5.0,570024513,lib,1.09,0.41,2.659,both_built
86,futures-sink,0.3.32,565878271,lib,0.58,0.23,2.522,both_built
87,typenum,1.20.0,565720639,lib,2.48,1.52,1.632,both_built
88,futures-channel,0.3.32,562319639,lib,0.8,0.76,1.053,both_built
89,tracing,0.1.44,562068036,lib,10.9,11.59,0.94,both_built
90,unicode-width,0.2.2,556491527,lib,1.58,0.38,4.158,both_built
91,h2,0.4.13,556273380,lib,15.42,21.45,0.719,both_built
92,memoffset,0.9.1,553413269,lib,1.3,0.64,2.031,both_built
93,chrono,0.4.44,551811682,lib,9.73,6.26,1.554,both_built
94,fnv,1.0.7,547756300,lib,4.36,2.19,1.991,both_built
95,ahash,0.8.12,545678848,lib,14.88,11.75,1.266,both_built
96,zerocopy,0.8.48,542274137,lib,8.56,9.7,0.882,both_built
97,futures-io,0.3.32,540411650,lib,0.57,0.3,1.9,both_built
98,tempfile,3.27.0,540036163,lib,6.97,9.76,0.714,both_built
99,pin-utils,0.1.0,535303577,lib,0.42,0.3,1.4,both_built
100,nix,0.31.2,533549001,lib,8.43,5.35,1.576,both_built
101,cpufeatures,0.3.0,533387788,lib,0.46,0.16,2.875,both_built
102,errno,0.3.14,531380519,lib,2.18,5.7,0.382,both_built
